golden_intent,predicted_intent,count,error_rate
data_issue,network_issue,6,0.0385
data_issue,data_plan_issue,5,0.0321
network_issue,data_plan_issue,5,0.0321
unauthorized_charge_or_vas,data_plan_issue,5,0.0321
bonus_or_promotion_issue,sim_or_device_issue,4,0.0256
unauthorized_charge_or_vas,non_actionable_or_context_required,4,0.0256
unauthorized_charge_or_vas,network_issue,4,0.0256
data_plan_issue,non_actionable_or_context_required,3,0.0192
sim_or_device_issue,data_plan_issue,3,0.0192
recharge_or_airtime_issue,data_plan_issue,3,0.0192
recharge_or_airtime_issue,non_actionable_or_context_required,3,0.0192
data_issue,sim_or_device_issue,3,0.0192
unauthorized_charge_or_vas,account_or_general_support,3,0.0192
voice_or_line_issue,unauthorized_charge_or_vas,3,0.0192
account_or_general_support,sim_or_device_issue,2,0.0128
voice_or_line_issue,sim_or_device_issue,2,0.0128
voice_or_line_issue,network_issue,2,0.0128
bonus_or_promotion_issue,data_plan_issue,2,0.0128
data_plan_issue,network_issue,2,0.0128
data_plan_issue,data_issue,2,0.0128
bonus_or_promotion_issue,unauthorized_charge_or_vas,2,0.0128
non_actionable_or_context_required,sim_or_device_issue,2,0.0128
recharge_or_airtime_issue,sim_or_device_issue,2,0.0128
network_issue,data_issue,2,0.0128
recharge_or_airtime_issue,unauthorized_charge_or_vas,2,0.0128
data_plan_issue,account_or_general_support,1,0.0064
account_or_general_support,non_actionable_or_context_required,1,0.0064
account_or_general_support,voice_or_line_issue,1,0.0064
bonus_or_promotion_issue,recharge_or_airtime_issue,1,0.0064
sim_or_device_issue,bonus_or_promotion_issue,1,0.0064
recharge_or_airtime_issue,account_or_general_support,1,0.0064
non_actionable_or_context_required,network_issue,1,0.0064
data_plan_issue,unauthorized_charge_or_vas,1,0.0064
network_issue,non_actionable_or_context_required,1,0.0064
network_issue,recharge_or_airtime_issue,1,0.0064
network_issue,unauthorized_charge_or_vas,1,0.0064
non_actionable_or_context_required,data_plan_issue,1,0.0064
unauthorized_charge_or_vas,bonus_or_promotion_issue,1,0.0064
unauthorized_charge_or_vas,data_issue,1,0.0064
sim_or_device_issue,network_issue,1,0.0064
sim_or_device_issue,non_actionable_or_context_required,1,0.0064
voice_or_line_issue,account_or_general_support,1,0.0064
unauthorized_charge_or_vas,recharge_or_airtime_issue,1,0.0064
voice_or_line_issue,recharge_or_airtime_issue,1,0.0064
voice_or_line_issue,non_actionable_or_context_required,1,0.0064
